time,timestamp_received,timestamp,trip,signal,isLive,Battery_voltage,Fuel_level,Intake_manifold_absolute_pressure,Throttle_position,Accelerator_pedal_position,Coolant_temperature,Vehicle_Speed,Engine_speed,Target_air_fuel_ratio,Current_gear_shift_position_(Current_gear),Cumulative_mileage,Clutch_torque,Trip_fuel_consumption,RON_factor,0313,0314,033d,0345,0348,0409,040a,altitude,latitude,longitude,satelites,bearing,angular_speed
328,2024-09-24 13:21:36,2024-09-24 13:20:48,200,0,True,9.643,3.804,39,4.031,0.0,66,0,1035.5,14.0,13.0,6750.676,3.562,2192.484,0.0,,,,,,,,0,0.0,0.0,0,244.91,0.001510722875962506
828,2024-09-24 13:21:36,2024-09-24 13:20:48,200,0,True,9.786,6.992,38,4.205,0.0,66,0,1031.0,14.0,13.0,6750.676,2.312,2314.766,0.0,,,,,,,,0,0.0,0.0,0,244.91,0.0
1328,2024-09-24 13:21:36,2024-09-24 13:20:48,200,0,True,9.857,10.097,40,4.064,0.0,66,0,984.25,14.0,13.0,6750.676,4.5,2495.188,0.0,,,,,,,,0,0.0,0.0,0,244.91,0.0
1828,2024-09-24 13:21:36,2024-09-24 13:20:48,200,0,True,9.786,12.93,40,3.369,0.0,66,0,806.75,14.0,13.0,6750.676,20.625,2671.656,0.0,,,,,,,,0,0.0,0.0,0,244.91,0.0
2328,2024-09-24 13:34:55,2024-09-24 13:20:50,200,0,False,9.714,14.931,42,3.242,0.0,66,0,666.5,14.0,13.0,6750.676,23.062,2842.5,0.0,,,,,,,,0,0.0,0.0,0,244.91,0.0
2828,2024-09-24 13:34:55,2024-09-24 13:20:50,200,0,False,9.429,17.007,56,7.861,0.0,66,0,463.75,13.8,13.0,6750.676,39.625,2951.734,0.0,,,,,,,,0,0.0,0.0,0,244.91,0.0
3328,2024-09-24 13:34:55,2024-09-24 13:20:50,200,0,False,9.929,18.208,68,6.014,0.0,67,2,1071.25,13.9,1.0,6750.676,29.25,3332.5,0.0,,,,,,,,0,0.0,0.0,0,244.91,0.0
3828,2024-09-24 13:34:55,2024-09-24 13:20:50,200,0,False,9.857,19.956,38,5.043,0.0,67,3,1189.0,14.1,1.0,6750.676,8.75,3614.875,0.0,,,,,,,,0,0.0,0.0,0,244.91,0.0
4328,2024-09-24 13:34:57,2024-09-24 13:20:52,200,0,False,9.571,20.705,43,3.857,0.0,66,5,779.0,14.1,1.0,6750.676,27.5,3792.688,0.0,,,,,,,,0,0.0,0.0,0,244.91,0.0
4828,2024-09-24 13:34:57,2024-09-24 13:20:52,200,0,False,9.643,21.811,47,4.424,0.0,67,5,714.0,14.0,1.0,6750.676,32.125,3904.203,0.0,,,,,,,,0,0.0,0.0,0,244.91,0.0
5328,2024-09-24 13:34:57,2024-09-24 13:20:52,200,0,False,9.786,23.473,50,5.252,0.0,67,6,842.25,14.0,1.0,6750.676,31.688,4103.797,0.0,,,,,,,,0,0.0,0.0,0,244.91,0.0
5828,2024-09-24 13:34:57,2024-09-24 13:20:52,200,0,False,9.786,23.714,44,3.518,0.0,67,8,926.25,14.2,1.0,6750.68,11.812,4317.859,0.0,,,,,,,,0,0.0,0.0,0,244.91,0.0
6328,2024-09-24 13:35:00,2024-09-24 13:20:54,200,0,False,9.786,24.441,38,3.822,0.0,67,8,970.25,14.2,1.0,6750.68,7.75,4499.344,0.0,,,,,,,,0,0.0,0.0,0,244.91,0.0
6828,2024-09-24 13:35:00,2024-09-24 13:20:54,200,0,False,9.786,25.016,37,3.857,0.0,67,8,1001.0,14.2,1.0,6750.68,6.75,4633.5,0.0,,,,,,,,0,0.0,0.0,0,244.91,0.0
7328,2024-09-24 13:35:00,2024-09-24 13:20:54,200,0,False,9.786,25.809,37,4.021,0.0,67,8,1022.25,14.2,1.0,6750.68,5.188,4802.703,0.0,,,,,,,,0,0.0,0.0,0,244.91,0.0
7828,2024-09-24 13:35:00,2024-09-24 13:20:54,200,0,False,9.714,26.797,44,6.127,0.0,67,8,1123.0,14.2,1.0,6750.684,-1.188,4996.594,0.0,,,,,,,,0,0.0,0.0,0,244.91,0.0
8328,2024-09-24 13:35:02,2024-09-24 13:20:56,200,0,False,8.786,27.254,46,5.176,0.0,67,8,849.75,14.2,1.0,6750.684,4.688,5273.797,0.0,,,,,,,,0,0.0,0.0,0,244.91,0.0
8828,2024-09-24 13:35:02,2024-09-24 13:20:56,200,0,False,9.214,28.097,45,4.91,2.167,67,8,966.75,14.2,1.0,6750.684,4.75,5466.312,0.0,,,,,,,,0,0.0,0.0,0,244.91,0.0
